slug,category,title,description,prompt
cost,Budget,1-Year Cost Breakdown for Studying in Japan,Realistic budget analysis for tuition and living costs in Tokyo.,"Write a realistic cost breakdown for studying in Japan for 1 year (Tokyo based). Include Tuition (Language school), Housing (Dorm vs Sharehouse vs Apartment), and Living expenses. Use a markdown table for the summary."
school-choice,Selection,5 Key Criteria for Choosing a Language School,How to pick the right school based on your goals.,"Explain 5 criteria for choosing a Japanese language school: 1. Purpose (University vs Job), 2. Nationality Ratio (Kanji vs Non-Kanji), 3. Location (Shinjuku vs others), 4. School Size, 5. Curriculum. Give advice for each."
visa,Visa,Student Visa Application Guide (A to Z),Step-by-step guide from COE to Visa issuance.,"Write a step-by-step guide for Japanese Student Visa. Steps: 1. Apply to School, 2. COE Application, 3. COE Issuance, 4. Visa Application at Embassy. Mention required documents and timeline for April intake."
housing,Housing,Dorm vs Share House vs Apartment in Japan,Pros and cons of housing types and initial costs.,"Compare 3 housing types for international students: School Dormitory, Share House, and Private Apartment. Discuss Initial Cost, Monthly Rent, Pros, and Cons. Use a markdown table for comparison."
part-time,Part-time,Part-time Jobs in Japan: Rules & Wages,"Rules, wages, and recommended jobs for students.","Explain Part-time jobs (Baitou) rules in Japan (28 hours/week). List recommended jobs by Japanese level (Beginner: Kitchen/Cleaning, N3: Konbini, N1: Service). Mention average hourly wages in Tokyo."
eju-jlpt,Exam,EJU vs JLPT: Which Exam Do You Need?,Differences between EJU and JLPT for admission and employment.,"Compare EJU and JLPT exams. Explain who needs EJU (University admission) and who needs JLPT (Employment, Vocational school). Discuss subjects and exam schedules."
preparation,Preparation,Pre-departure Checklist: What to Pack for Japan,"Must-bring items like Hanko, documents, and cash.","Create a packing checklist for Japan. 1. Must-haves (Hanko/Seal, Cash, Adapter), 2. Documents (COE, Admission Letter), 3. Clothing/Meds. Explain why Hanko is important."
mobile-bank,Settlement,First Week in Japan: 3 Essential Tasks,"Guide to City Hall procedures, SIM cards, and banking.","Explain 3 things to do immediately after arriving in Japan: 1. Resident Registration at Ward Office, 2. Getting a SIM Card (MVNO), 3. Opening a JP Bank (Yucho) account. Explain the process simply."
insurance,Insurance,National Health Insurance & Fee Reduction Guide,How to apply for fee reduction and use hospitals.,Explain National Health Insurance (NHI) for students. Emphasize applying for 'premium reduction' (Gengaku) based on zero income at City Hall. Mention the 30% copay for medical bills.
region,Region,Tokyo vs Osaka vs Fukuoka: Where to Study?,"Comparison of lifestyle, costs, and atmosphere.","Compare studying in Tokyo vs Osaka vs a regional city (Fukuoka). Compare Rent, Dialect (Standard vs Kansai-ben), and Job opportunities. Who fits where?"
